Dшт,Рзаб_ср,Pлин_ср,Тна шлейфе,Тзаб,Дебит газа_ст,Дебит ст. конд.,Дебит воды_ст,Рпл. Тек (Карноухов),Pсб_атм,Удельная плотность газа ,G_total,КГФ
7.94,370.10,101.80,31.70,103.20,214.70,83.60,0.40,,93.60,0.6694,2.78,311.91
9.53,364.60,101.30,37.60,103.00,290.59,104.70,1.40,,92.90,0.6694,3.70,288.60
11.11,357.10,101.60,42.80,102.60,368.04,114.30,1.90,,91.40,0.6694,4.52,248.79
12.70,347.40,98.40,46.20,102.00,434.66,121.30,3.30,,89.20,0.6694,5.22,223.56
14.29,337.70,99.20,49.40,104.40,483.28,129.80,4.60,,89.70,0.6694,5.77,215.15
9.53,286.40,106.36,38.80,102.64,251.70,76.80,0.60,,90.70,0.6750,3.08,241.13
7.94,354.33,102.93,,105.30,234.86,56.07,0.00,50.10,100.90,0.66,,188
9.53,342.27,103.20,34.60,105.70,313.85,79.58,1.66,,92.00,0.66,,201
11.11,312.27,103.19,41.20,105.20,395.00,85.50,2.59,,93.70,0.66,,172
12.70,291.74,103.23,43.70,104.50,435.04,86.21,3.16,,89.60,0.66,,157
14.29,263.03,107.38,49.20,103.40,494.59,88.07,3.51,,90.30,0.66,,141
14.29,251.30,73.31,,100.21,459.31,114.88,0.34,56.80,97.00,0.6540,5.25,199.63
11.11,296.80,76.57,,102.38,355.02,109.27,0.33,56.80,98.00,0.6540,4.25,245.68
7.94,458.60,91.05,90.30,105.60,287.95,106.66,0.49,55.20,89.60,0.6822,3.72,294.59
9.53,452.80,97.79,95.50,105.49,402.79,143.01,2.18,55.20,85.50,0.6822,5.17,282.24
12.70,437.30,103.11,103.60,105.47,654.56,230.98,4.56,55.20,93.80,0.6822,8.40,280.56
15.87,414.00,109.78,110.20,105.36,846.82,302.62,8.34,55.20,87.70,0.6822,10.93,284.08
14.29,414.80,108.63,,105.35,720.27,262.01,6.01,55.20,96.30,0.6822,9.33,289.18
11.11,354.00,98.95,39.20,105.56,451.48,98.20,3.89,50.90,94.80,0.66,,171
12.70,348.10,100.10,43.70,105.51,537.87,113.09,5.19,50.90,95.20,0.66,,165
9.53,403.40,111.38,32.00,104.42,366.22,118.28,1.47,52.70,88.80,0.6840,4.59,254.84
11.11,399.20,121.68,36.00,104.42,470.29,145.03,2.27,52.70,87.40,0.6840,5.83,243.23
,14.29,,107.56,,,601.50,167.10,1.00,,90.80,0.6847,7.28,219.04
6.35,341.50,106.00,,104.90,148.20,40.00,0.00,51.70,94.80,0.6620,,270
9.53,330.00,105.90,,104.70,304.63,76.60,0.00,51.70,94.80,0.6620,,251
11.11,330.50,94.50,42.90,104.50,415.32,88.70,3.80,,90.30,0.68,,169
12.70,314.20,96.90,47.90,104.00,489.67,98.60,4.70,,92.00,0.68,,160
14.29,297.50,98.20,51.00,103.40,554.81,109.10,5.70,,93.20,0.68,,156
12.70,306.90,97.20,,103.76,490.36,94.70,4.50,,92.50,0.68,,153
,9.53,,100.37,,,285.00,55.40,0.50,,92.90,0.66,,152
9.53,347.00,93.85,34.30,106.51,347.86,67.79,5.49,,87.90,0.67,,152
11.11,342.00,94.36,38.50,106.48,448.20,79.32,5.45,,87.90,0.67,,138
,12.70,,102.14,,,479.10,80.90,0.70,,93.00,0.67,,131
9.53,340.00,94.02,32.40,104.85,338.63,66.59,1.39,49.70,88.80,0.66,,154
11.11,334.00,95.51,38.60,104.83,432.74,77.91,2.02,49.70,88.10,0.66,,141
12.70,326.00,94.89,42.70,104.74,514.10,91.24,2.80,49.70,88.80,0.66,,139
14.29,318.00,97.27,46.90,104.64,608.78,102.94,3.23,49.70,88.90,0.66,,132
6.35,316.10,101.82,,106.20,128.37,39.74,0.60,50.70,101.80,0.65,,241
9.53,281.50,103.87,,106.40,244.58,67.58,1.40,50.70,103.60,0.65,,216
11.11,257.90,103.06,,106.47,295.81,71.29,2.18,50.70,102.60,0.65,,191
12.70,236.50,104.28,,106.40,330.50,74.59,2.50,50.70,103.90,0.65,,177
14.30,221.20,104.43,,106.70,346.70,73.12,2.55,50.70,104.00,0.65,,164
7.50,305.56,100.80,26.00,106.50,162.15,45.40,0.60,48.60,99.80,0.68,,219
7.94,298.69,100.60,27.80,106.60,189.82,52.80,1.00,48.60,99.80,0.68,,218
9.53,278.23,100.60,35.10,106.60,250.43,63.90,1.50,48.60,100.10,0.68,,200
11.11,256.21,101.20,40.90,106.50,305.59,63.00,1.70,48.60,100.10,0.68,,161
12.70,234.19,101.30,45.60,106.40,344.29,69.00,0.90,48.60,100.30,0.68,,157
14.29,216.90,101.40,49.30,106.43,360.23,71.10,0.80,48.60,100.70,0.68,,154
7.94,174.00,92.05,25.60,102.55,145.68,33.94,0.24,,90.00,0.57,,180
7.94,228.46,92.59,24.80,102.51,145.72,33.63,0.24,,90.40,0.57,,178
7.94,228.10,92.63,26.60,102.07,144.77,33.85,0.24,,90.70,0.57,,180
6.35,382.50,101.90,,106.20,168.59,48.30,0.80,52.70,101.50,0.67,,224
9.53,373.70,103.80,,106.40,354.22,89.80,3.20,52.70,101.50,0.67,,199
9.53,364.68,94.90,36.30,105.18,350.09,94.40,1.40,45.60,93.50,0.67,,212
11.11,357.12,97.00,42.80,105.24,452.11,117.60,1.40,45.60,95.30,0.67,,204
12.70,347.44,95.70,47.50,105.23,562.20,142.00,2.10,45.60,94.20,0.67,,198
14.30,337.88,99.80,51.80,105.16,653.25,154.70,2.30,45.60,98.50,0.67,,186
7.94,335.20,88.70,27.00,104.68,215.34,55.40,1.10,41.60,89.70,0.66,,201
9.53,328.10,91.20,34.90,104.84,312.61,72.70,1.90,41.60,88.90,0.66,,182
11.11,318.00,98.00,41.40,104.85,409.23,86.30,3.50,41.60,91.00,0.66,,165
12.70,307.80,98.60,45.80,104.78,479.08,93.50,4.70,41.60,94.40,0.66,,153
14.29,293.60,98.50,49.80,104.63,568.50,106.60,6.40,41.60,94.00,0.66,,147
7.94,309.10,92.60,,104.40,215.80,50.50,0.45,,89.90,0.67,,182
11.11,293.90,93.10,,104.60,387.68,72.00,1.50,,90.80,0.67,,145
9.53,271.00,95.95,,103.90,264.30,47.60,1.00,,94.00,0.67,,139
